uuid,event_id,category,type,value,comment,to_ids,date
579b5e56-0c24-40d3-8565-c4bcac1f3af3,99695,External analysis,comment,"HacKed","Campaign ID",0,20160729
579b5e56-2028-4b3a-9a13-c4bcac1f3af3,99695,External analysis,comment,"vt","Source",0,20160729
579b5e56-4874-4808-bfed-c4bcac1f3af3,99695,External analysis,comment,"2016-07-27 12:04:16","Date Observed",0,20160729
579b5e56-6df0-44c0-99e9-c4bcac1f3af3,99695,External analysis,sha256,"83883f819f0ca3d37861fde4b470a2dba54de65a99fde5471ef1d74e732e3bc9","",0,20160729
579b5e56-75cc-4254-a502-c4bcac1f3af3,99695,External analysis,comment,"njRat","Rat Name",0,20160729
579b5e56-86c0-4cb8-9ebb-c4bcac1f3af3,99695,External analysis,comment,"{""InstallFlag"": ""False"", ""RegistryValue"": ""64ac22564147750d8ff011ef001d4346"", ""Version"": ""0.7d"", ""InstallDir"": ""TEMP"", ""NetworkSeparator"": ""|'|'|"", ""Date"": ""2016-07-27 12:04:16"", ""sha256"": ""83883f819f0ca3d37861fde4b470a2dba54de65a99fde5471ef1d74e732e3bc9"", ""imphash"": ""f34d5f2d4577ed6d9ceec516c1f5a744"", ""sha1"": ""7c26068443b2b9467e5fcb37e9c5ac6b473e55fc"", ""md5"": ""dcccad8cb53c9475d36d6e5fc17d61de"", ""Origin"": ""vt"", ""Domain"": ""issamdz.no-ip.biz"", ""InstallName"": ""google chromer.exe"", ""magic"": ""PE32 executable for MS Windows (GUI) Intel 80386 32-bit Mono/.Net assembly"", ""Campaign"": ""HacKed"", ""section_.TEXT"": ""1e1c6375b3733ae6f942e28b4991a193"", ""rat_name"": ""njRat"", ""compile_date"": ""2016-07-27 12:02:19"", ""Port"": ""5552"", ""section_.RELOC"": ""36bba69bb8089b3b2a95af11f3ee5332""}","JSON config",0,20160729
579b5e56-98a4-4b56-b18b-c4bcac1f3af3,99695,External analysis,domain,"issamdz.no-ip.biz","Ports:5552",0,20160729
579b5e56-a25c-4119-bb06-c4bcac1f3af3,99695,External analysis,sha1,"7c26068443b2b9467e5fcb37e9c5ac6b473e55fc","",0,20160729
579b5e56-e2b8-42b5-8570-c4bcac1f3af3,99695,External analysis,comment,"f34d5f2d4577ed6d9ceec516c1f5a744","Imphash",0,20160729
579b5e56-efa8-435d-96aa-c4bcac1f3af3,99695,External analysis,md5,"dcccad8cb53c9475d36d6e5fc17d61de","",0,20160729
